

                                                            Ecliptic Coordinate System

                         +---------- Position (1 Rs = 60268.0 km) ----------+    +-------------------- Velocity --------------------+

      SCET (UT)              X (Rs)        Y (Rs)        Z (Rs)        R (Rs)      X (km/s)      Y (km/s)      Z (km/s)   Vmag (km/s)
2016 048 02 00 00.000       -14.844       -11.295         8.649        20.560        -0.729        -5.464         2.708         6.141
2016 049 02 00 00.000       -15.014       -18.349        11.953        26.552         0.352        -4.440         1.969         4.870
2016 050 02 00 00.000       -14.093       -24.122        14.406        31.433         0.897        -3.655         1.479         4.043
2016 051 02 00 00.000       -12.573       -28.882        16.251        35.445         1.219        -3.016         1.109         3.437
2016 052 02 00 00.000       -10.683       -32.801        17.620        38.737         1.425        -2.472         0.810         2.966
2016 053 02 00 00.000        -8.556       -35.989        18.594        41.403         1.559        -1.991         0.556         2.589
2016 054 02 00 00.000        -6.274       -38.522        19.228        43.509         1.646        -1.553         0.333         2.287
2016 055 02 00 00.000        -3.895       -40.450        19.559        45.099         1.698        -1.145         0.132         2.052
2016 056 02 00 00.000        -1.462       -41.809        19.613        46.204         1.723        -0.756        -0.054         1.882
2016 057 02 00 00.000         0.989       -42.621        19.410        46.843         1.725        -0.379        -0.228         1.781
2016 058 02 00 00.000         3.428       -42.899        18.962        47.028         1.705        -0.007        -0.396         1.751
2016 059 02 00 00.000         5.823       -42.645        18.278        46.761         1.665         0.366        -0.558         1.794
2016 060 02 00 00.000         8.146       -41.853        17.362        46.037         1.602         0.746        -0.719         1.908
2016 061 02 00 00.000        10.360       -40.507        16.215        44.845         1.514         1.141        -0.881         2.090
2016 062 02 00 00.000        12.428       -38.581        14.836        43.163         1.394         1.559        -1.045         2.337
2016 063 02 00 00.000        14.296       -36.035        13.217        40.958         1.232         2.010        -1.215         2.652
2016 064 02 00 00.000        15.895       -32.810        11.349        38.184         1.013         2.510        -1.393         3.044
2016 065 02 00 00.000        17.124       -28.821         9.217        34.769         0.706         3.082        -1.584         3.536
2016 066 02 00 00.000        17.821       -23.941         6.801        30.611         0.254         3.762        -1.790         4.174
2016 067 02 00 00.000        17.697       -17.971         4.079        25.549        -0.477         4.616        -2.009         5.057
2016 068 02 00 00.000        16.135       -10.590         1.049        19.328        -1.863         5.752        -2.205         6.436
2016 069 02 00 00.000        11.349        -1.352        -2.072        11.616        -5.520         7.094        -1.956         9.199
2016 070 02 00 00.000        -2.980         5.315        -1.737         6.336       -12.308        -2.573         4.114        13.230
2016 071 02 00 00.000       -12.734        -3.367         4.588        13.947        -3.084        -6.557         3.755         8.161
2016 072 02 00 00.000       -15.072       -11.875         9.066        21.222        -0.617        -5.337         2.604         5.970
2016 073 02 00 00.000       -15.169       -18.784        12.271        27.083         0.373        -4.357         1.916         4.775
2016 074 02 00 00.000       -14.236       -24.457        14.660        31.870         0.896        -3.597         1.441         3.977
2016 075 02 00 00.000       -12.723       -29.147        16.455        35.807         1.210        -2.974         1.078         3.387
2016 076 02 00 00.000       -10.849       -33.012        17.783        39.035         1.413        -2.440         0.783         2.926
2016 077 02 00 00.000        -8.740       -36.159        18.721        41.645         1.547        -1.966         0.532         2.557
2016 078 02 00 00.000        -6.474       -38.659        19.323        43.701         1.635        -1.533         0.312         2.262
2016 079 02 00 00.000        -4.110       -40.560        19.625        45.246         1.688        -1.128         0.112         2.033
2016 080 02 00 00.000        -1.689       -41.897        19.652        46.307         1.715        -0.741        -0.072         1.870
2016 081 02 00 00.000         0.753       -42.689        19.422        46.905         1.719        -0.366        -0.246         1.775
2016 082 02 00 00.000         3.185       -42.947        18.949        47.050         1.702         0.006        -0.413         1.751
2016 083 02 00 00.000         5.577       -42.674        18.240        46.743         1.664         0.379        -0.576         1.801
2016 084 02 00 00.000         7.899       -41.862        17.299        45.979         1.603         0.761        -0.737         1.921
2016 085 02 00 00.000        10.116       -40.495        16.127        44.746         1.516         1.157        -0.898         2.108
2016 086 02 00 00.000        12.191       -38.541        14.724        43.021         1.403         1.582        -1.059         2.365
2016 087 02 00 00.000        14.073       -35.958        13.085        40.771         1.243         2.038        -1.229         2.685
2016 088 02 00 00.000        15.688       -32.688        11.196        37.947         1.023         2.545        -1.408         3.083
2016 089 02 00 00.000        16.930       -28.642         9.042        34.478         0.713         3.127        -1.600         3.584
2016 090 02 00 00.000        17.632       -23.686         6.601        30.258         0.252         3.822        -1.807         4.236
2016 091 02 00 00.000        17.492       -17.614         3.854        25.121        -0.502         4.700        -2.027         5.143
2016 092 02 00 00.000        15.852       -10.086         0.802        18.806        -1.962         5.877        -2.213         6.579
2016 093 02 00 00.000        10.743        -0.655        -2.283        11.003        -5.970         7.192        -1.851         9.528
2016 094 02 00 00.000        -4.163         5.057        -1.309         6.680       -11.467        -3.673         4.438        12.833
2016 095 02 00 00.000       -13.110        -3.847         4.916        14.520        -2.888        -6.437         3.637         7.937
2016 096 02 00 00.000       -15.109       -12.262         9.507        21.657         0.043        -5.389         3.097         6.215
2016 097 02 00 00.000       -14.306       -19.260        13.405        27.483         0.968        -4.429         2.388         5.124
